"Date","Price","Open","High","Low","Vol.","Change %"
"04-11-2025","88.701","88.693","88.780","88.337","","-0.03%"
"03-11-2025","88.724","88.722","88.806","88.697","","-0.05%"
"31-10-2025","88.769","88.637","88.814","88.566","","0.15%"
"30-10-2025","88.632","88.314","88.765","88.308","","0.25%"
"29-10-2025","88.408","88.232","88.493","88.141","","0.20%"
"28-10-2025","88.234","88.223","88.423","88.160","","0.01%"
"27-10-2025","88.225","87.786","88.311","87.785","","0.44%"
"24-10-2025","87.836","87.777","87.889","87.630","","0.06%"
"23-10-2025","87.779","87.716","87.964","87.716","","0.04%"
"22-10-2025","87.740","88.003","88.003","87.612","","-0.32%"
"21-10-2025","88.021","87.880","88.092","87.880","","0.17%"
"20-10-2025","87.875","87.956","88.012","87.738","","-0.15%"
"17-10-2025","88.003","87.939","88.119","87.716","","0.01%"
"16-10-2025","87.991","87.754","88.058","87.611","","0.21%"
"15-10-2025","87.810","88.729","88.799","87.809","","-1.09%"
"14-10-2025","88.782","88.683","88.827","88.627","","0.13%"
"13-10-2025","88.665","88.726","88.798","88.564","","-0.10%"
"10-10-2025","88.757","88.817","88.826","88.494","","-0.12%"
"09-10-2025","88.866","88.778","88.877","88.694","","0.12%"
"08-10-2025","88.760","88.759","88.824","88.725","","0.02%"
"07-10-2025","88.739","88.721","88.785","88.691","","0.02%"
"06-10-2025","88.721","88.763","88.839","88.695","","-0.02%"